Commodity,Date,Minimum,Maximum,Average
Cauli Local(Jyapu),2/7/2021,40,50,45
Cauli Terai,2/7/2021,25,30,27.5
Raddish Red,2/7/2021,40,45,42.5
Raddish White(Local),2/7/2021,20,25,22.5
Raddish White(Hybrid),2/7/2021,25,30,27.5
Brinjal Long,2/7/2021,45,50,47.5
Brinjal Round,2/7/2021,45,50,47.5
Green Peas,2/7/2021,60,70,65
French Bean(Local),2/7/2021,90,100,95
French Bean(Hybrid),2/7/2021,60,70,65
Sword Bean,2/7/2021,70,80,75
Bitter Gourd,2/7/2021,120,140,130
Bottle Gourd,2/7/2021,50,60,55
Pumpkin,2/7/2021,28,30,29
Squash(Long),2/7/2021,40,50,45
Squash(Round),2/7/2021,60,70,65
Turnip,2/7/2021,70,80,75
Okara,2/7/2021,100,110,105
Sweet Potato,2/7/2021,60,70,65
Barela,2/7/2021,45,50,47.5
Arum,2/7/2021,40,50,45
Christophine,2/7/2021,50,60,55
Brd Leaf Mustard,2/7/2021,40,50,45
Spinach Leaf,2/7/2021,50,60,55
Cress Leaf,2/7/2021,80,90,85
Mustard Leaf,2/7/2021,50,60,55
Fenugreek Leaf,2/7/2021,50,60,55
Onion Green,2/7/2021,70,80,75
Bakula,2/7/2021,120,130,125
Yam,2/7/2021,50,60,55
Mushroom(Kanya),2/7/2021,140,150,145
Mushroom(Button),2/7/2021,250,300,275
Brocauli,2/7/2021,60,70,65
Sugarbeet,2/7/2021,70,80,75
Red Cabbbage,2/7/2021,90,100,95
Lettuce,2/7/2021,80,90,85
Knolkhol,2/7/2021,80,90,85
Celery,2/7/2021,220,250,235
Parseley,2/7/2021,350,400,375
Fennel Leaf,2/7/2021,80,90,85
Mint,2/7/2021,220,250,235
Turnip A,2/7/2021,70,80,75
Tamarind,2/7/2021,140,150,145
Bamboo Shoot,2/7/2021,70,80,75
Tofu,2/7/2021,70,80,75
Gundruk,2/7/2021,220,250,235
Apple(Jholey),2/7/2021,190,200,195
Apple(Fuji),2/7/2021,280,300,290
Banana,2/7/2021,90,100,95
Lime,2/7/2021,130,140,135
Pomegranate,2/7/2021,280,300,290
Grapes(Green),2/7/2021,130,150,140
Grapes(Black),2/7/2021,250,260,255
Orange(Nepali),2/7/2021,140,150,145
Water Melon(Green),2/7/2021,40,50,45
Sweet Orange,2/7/2021,150,160,155
Pineapple,2/7/2021,140,150,145
Cucumber(Hybrid),2/7/2021,50,60,55
Jack Fruit,2/7/2021,80,90,85
Lemon,2/7/2021,40,50,45
Pear(Chinese),2/7/2021,260,280,270
Papaya(Indian),2/7/2021,80,90,85
Guava,2/7/2021,90,100,95
Mombin,2/7/2021,35,40,37.5
Sugarcane,2/7/2021,70,80,75
Kinnow,2/7/2021,60,70,65
Strawberry,2/7/2021,550,600,575
Kiwi,2/7/2021,280,300,290
Ginger,2/7/2021,50,60,55
Chilli Dry,2/7/2021,320,330,325
Chilli Green,2/7/2021,80,90,85
Chilli Green(Bullet),2/7/2021,60,70,65
Chilli Green(Machhe),2/7/2021,70,80,75
Capsicum,2/7/2021,60,70,65
Garlic Green,2/7/2021,50,60,55
Coriander Green,2/7/2021,140,150,145
Garlic Dry Chinese,2/7/2021,380,400,390
Fish Fresh(Rahu),2/7/2021,270,280,275
Fish Fresh(Bachuwa),2/7/2021,230,240,235
Fish Fresh(Chhadi),2/7/2021,210,220,215
Fish Fresh(Mungari),2/7/2021,270,280,275
Tomato Big(Nepali),2/8/2021,50,60,55
Tomato Big(Indian),2/8/2021,50,60,55
Tomato Small(Local),2/8/2021,15,20,17.5
Tomato Small(Tunnel),2/8/2021,22,28,25
Tomato Small(Indian),2/8/2021,25,30,27.5
Tomato Small(Terai),2/8/2021,25,35,30
Potato Red,2/8/2021,25,30,27.5
Potato Red(Indian),2/8/2021,25,30,27.5
Potato White,2/8/2021,16,20,18
Onion Dry (Indian),2/8/2021,70,75,72.5
Carrot(Local),2/8/2021,50,60,55
Carrot(Terai),2/8/2021,50,60,55
Cabbage(Local),2/8/2021,15,20,17.5
Cabbage(Terai),2/8/2021,12,16,14
Cabbage,2/8/2021,15,18,16.5
Cauli Local,2/8/2021,35,45,40
Cauli Local(Jyapu),2/8/2021,40,50,45
Cauli Terai,2/8/2021,30,35,32.5
Raddish Red,2/8/2021,50,60,55
Raddish White(Local),2/8/2021,20,30,25
Raddish White(Hybrid),2/8/2021,25,30,27.5
Brinjal Long,2/8/2021,50,60,55
Brinjal Round,2/8/2021,50,60,55
Green Peas,2/8/2021,50,60,55
French Bean(Local),2/8/2021,80,90,85
French Bean(Hybrid),2/8/2021,70,80,75
Sword Bean,2/8/2021,70,80,75
Bitter Gourd,2/8/2021,120,140,130
Bottle Gourd,2/8/2021,50,60,55
Pumpkin,2/8/2021,30,40,35
Squash(Long),2/8/2021,40,50,45
Squash(Round),2/8/2021,50,60,55
Turnip,2/8/2021,70,80,75
Okara,2/8/2021,100,110,105
Sweet Potato,2/8/2021,60,70,65
Barela,2/8/2021,50,60,55
Arum,2/8/2021,50,60,55
Christophine,2/8/2021,50,60,55
Brd Leaf Mustard,2/8/2021,50,60,55
Spinach Leaf,2/8/2021,50,60,55
Cress Leaf,2/8/2021,80,90,85
Mustard Leaf,2/8/2021,50,60,55
Fenugreek Leaf,2/8/2021,50,60,55
Onion Green,2/8/2021,60,70,65
Bakula,2/8/2021,110,120,115
Yam,2/8/2021,50,60,55
Mushroom(Kanya),2/8/2021,130,150,140
Mushroom(Button),2/8/2021,280,300,290
Brocauli,2/8/2021,60,70,65
Sugarbeet,2/8/2021,70,80,75
Drumstick,2/8/2021,160,180,170
Red Cabbbage,2/8/2021,80,100,90
Lettuce,2/8/2021,80,90,85
Knolkhol,2/8/2021,90,100,95
Celery,2/8/2021,220,250,235
Parseley,2/8/2021,350,400,375
Fennel Leaf,2/8/2021,80,90,85
Mint,2/8/2021,220,250,235
Turnip A,2/8/2021,70,80,75
Tamarind,2/8/2021,140,150,145
Bamboo Shoot,2/8/2021,70,80,75
Tofu,2/8/2021,70,80,75
Gundruk,2/8/2021,220,250,235
Apple(Jholey),2/8/2021,190,200,195
Apple(Fuji),2/8/2021,250,300,275
Banana,2/8/2021,90,100,95
Lime,2/8/2021,130,150,140
Pomegranate,2/8/2021,280,300,290
Grapes(Green),2/8/2021,125,150,137.5
Grapes(Black),2/8/2021,225,250,237.5
Orange(Nepali),2/8/2021,140,150,145
Water Melon(Green),2/8/2021,35,45,40
Sweet Orange,2/8/2021,160,170,165
Pineapple,2/8/2021,140,150,145
Cucumber(Hybrid),2/8/2021,50,60,55
Jack Fruit,2/8/2021,90,100,95
Lemon,2/8/2021,50,60,55
Pear(Chinese),2/8/2021,260,270,265
Papaya(Nepali),2/8/2021,50,60,55
Papaya(Indian),2/8/2021,90,100,95
Guava,2/8/2021,90,100,95
Mombin,2/8/2021,35,45,40
Sugarcane,2/8/2021,80,90,85
Kinnow,2/8/2021,50,60,55
Strawberry,2/8/2021,550,600,575
Kiwi,2/8/2021,280,300,290
Ginger,2/8/2021,50,60,55
Chilli Dry,2/8/2021,320,330,325
Chilli Green,2/8/2021,70,80,75
Chilli Green(Bullet),2/8/2021,50,60,55
Chilli Green(Machhe),2/8/2021,80,90,85
Capsicum,2/8/2021,60,70,65
Garlic Green,2/8/2021,70,80,75
Coriander Green,2/8/2021,120,150,135
Garlic Dry Chinese,2/8/2021,290,310,300
Fish Fresh(Rahu),2/8/2021,260,270,265
Fish Fresh(Bachuwa),2/8/2021,225,230,227.5
Fish Fresh(Chhadi),2/8/2021,210,220,215
Fish Fresh(Mungari),2/8/2021,240,260,250
Tomato Big(Nepali),2/9/2021,50,60,55
Tomato Big(Indian),2/9/2021,45,50,47.5
Tomato Small(Local),2/9/2021,12,20,16
Tomato Small(Tunnel),2/9/2021,12,22,17
Tomato Small(Indian),2/9/2021,20,30,25
Tomato Small(Terai),2/9/2021,20,30,25
Potato Red,2/9/2021,25,30,27.5
Potato Red(Indian),2/9/2021,25,30,27.5
Potato White,2/9/2021,18,20,19
Onion Dry (Indian),2/9/2021,70,75,72.5
Carrot(Local),2/9/2021,50,60,55
Carrot(Terai),2/9/2021,40,50,45
Cabbage(Local),2/9/2021,15,20,17.5
Cabbage(Terai),2/9/2021,12,15,13.5
Cabbage,2/9/2021,14,18,16
Cauli Local,2/9/2021,40,50,45
Cauli Local(Jyapu),2/9/2021,45,50,47.5
Cauli Terai,2/9/2021,30,40,35
Raddish Red,2/9/2021,50,60,55
Raddish White(Local),2/9/2021,20,25,22.5
Raddish White(Hybrid),2/9/2021,20,30,25
Brinjal Long,2/9/2021,50,60,55
Brinjal Round,2/9/2021,50,60,55
Green Peas,2/9/2021,50,60,55
French Bean(Local),2/9/2021,80,90,85
French Bean(Hybrid),2/9/2021,70,80,75
Sword Bean,2/9/2021,65,75,70
Bitter Gourd,2/9/2021,120,140,130
Bottle Gourd,2/9/2021,50,60,55
Pointed Gourd(Terai),2/9/2021,230,240,235
Pumpkin,2/9/2021,30,40,35
Squash(Long),2/9/2021,40,50,45
Squash(Round),2/9/2021,50,60,55
Turnip,2/9/2021,80,90,85
Okara,2/9/2021,100,110,105
Sweet Potato,2/9/2021,60,70,65
Barela,2/9/2021,40,50,45
Arum,2/9/2021,50,60,55
Christophine,2/9/2021,50,60,55
Brd Leaf Mustard,2/9/2021,40,50,45
Spinach Leaf,2/9/2021,50,60,55
Cress Leaf,2/9/2021,80,90,85
Mustard Leaf,2/9/2021,50,60,55
Fenugreek Leaf,2/9/2021,50,60,55
Onion Green,2/9/2021,60,70,65
Bakula,2/9/2021,100,110,105
Yam,2/9/2021,50,60,55
Mushroom(Kanya),2/9/2021,130,150,140
Mushroom(Button),2/9/2021,280,300,290
Brocauli,2/9/2021,60,70,65
Sugarbeet,2/9/2021,80,90,85
Drumstick,2/9/2021,160,180,170
Red Cabbbage,2/9/2021,90,100,95
Lettuce,2/9/2021,70,80,75
Knolkhol,2/9/2021,90,100,95
Celery,2/9/2021,220,250,235
Parseley,2/9/2021,350,400,375
Fennel Leaf,2/9/2021,80,90,85
Mint,2/9/2021,220,250,235
Turnip A,2/9/2021,70,80,75
Tamarind,2/9/2021,140,150,145
Bamboo Shoot,2/9/2021,70,80,75
Tofu,2/9/2021,70,80,75
Gundruk,2/9/2021,220,250,235
Apple(Jholey),2/9/2021,190,200,195
Apple(Fuji),2/9/2021,250,280,265
Banana,2/9/2021,90,100,95
Lime,2/9/2021,130,140,135
Pomegranate,2/9/2021,280,300,290
Grapes(Green),2/9/2021,100,125,112.5
Grapes(Black),2/9/2021,200,225,212.5
Orange(Nepali),2/9/2021,140,150,145
Water Melon(Green),2/9/2021,35,45,40
Sweet Orange,2/9/2021,160,170,165
Pineapple,2/9/2021,140,150,145
Cucumber(Hybrid),2/9/2021,40,50,45
Jack Fruit,2/9/2021,90,100,95
Lemon,2/9/2021,40,50,45
Pear(Chinese),2/9/2021,260,270,265
Papaya(Nepali),2/9/2021,50,60,55
Papaya(Indian),2/9/2021,90,100,95
Guava,2/9/2021,90,100,95
Mombin,2/9/2021,40,50,45
Kinnow,2/9/2021,50,60,55
Strawberry,2/9/2021,550,600,575
Kiwi,2/9/2021,280,300,290
Ginger,2/9/2021,50,60,55
Chilli Dry,2/9/2021,320,330,325
Chilli Green(Bullet),2/9/2021,50,60,55
Chilli Green(Machhe),2/9/2021,90,100,95
Capsicum,2/9/2021,70,80,75
Garlic Green,2/9/2021,70,80,75
Coriander Green,2/9/2021,90,100,95
Garlic Dry Chinese,2/9/2021,280,300,290
Fish Fresh(Rahu),2/9/2021,270,280,275
Fish Fresh(Bachuwa),2/9/2021,230,240,235
Fish Fresh(Chhadi),2/9/2021,210,230,220
Fish Fresh(Mungari),2/9/2021,240,250,245
Tomato Big(Nepali),2/10/2021,50,60,55
Tomato Big(Indian),2/10/2021,40,50,45
Tomato Small(Local),2/10/2021,15,20,17.5
Tomato Small(Tunnel),2/10/2021,15,22,18.5
Tomato Small(Indian),2/10/2021,20,30,25
Tomato Small(Terai),2/10/2021,25,30,27.5
Potato Red,2/10/2021,24,28,26
Potato Red(Indian),2/10/2021,24,26,25
Potato White,2/10/2021,18,20,19
Onion Dry (Indian),2/10/2021,78,82,80
Carrot(Local),2/10/2021,45,55,50
Carrot(Terai),2/10/2021,40,50,45
Cabbage(Local),2/10/2021,15,20,17.5
Cabbage(Terai),2/10/2021,12,16,14
Cabbage,2/10/2021,12,16,14
Cauli Local,2/10/2021,40,50,45
Cauli Local(Jyapu),2/10/2021,45,50,47.5
Cauli Terai,2/10/2021,30,40,35
Raddish White(Local),2/10/2021,25,30,27.5
Raddish White(Hybrid),2/10/2021,30,35,32.5
Brinjal Long,2/10/2021,60,70,65
Brinjal Round,2/10/2021,60,70,65
Green Peas,2/10/2021,50,60,55
French Bean(Local),2/10/2021,70,80,75
French Bean(Hybrid),2/10/2021,60,70,65
Sword Bean,2/10/2021,60,70,65
Bitter Gourd,2/10/2021,120,140,130
Bottle Gourd,2/10/2021,60,70,65
Pointed Gourd(Local),2/10/2021,200,220,210
Pumpkin,2/10/2021,25,35,30
Squash(Long),2/10/2021,40,50,45
Squash(Round),2/10/2021,50,60,55
Turnip,2/10/2021,70,80,75
Okara,2/10/2021,100,120,110
Sweet Potato,2/10/2021,60,70,65
Barela,2/10/2021,50,60,55
Arum,2/10/2021,50,60,55
Christophine,2/10/2021,50,60,55
Brd Leaf Mustard,2/10/2021,45,50,47.5
Spinach Leaf,2/10/2021,50,60,55
Cress Leaf,2/10/2021,80,90,85
Mustard Leaf,2/10/2021,40,50,45
Fenugreek Leaf,2/10/2021,50,60,55
Onion Green,2/10/2021,60,70,65
Bakula,2/10/2021,110,120,115
Yam,2/10/2021,50,60,55
Mushroom(Kanya),2/10/2021,120,140,130
Mushroom(Button),2/10/2021,280,300,290
Brocauli,2/10/2021,50,60,55
Sugarbeet,2/10/2021,80,90,85
Drumstick,2/10/2021,160,180,170
Red Cabbbage,2/10/2021,90,100,95
Lettuce,2/10/2021,80,90,85
Knolkhol,2/10/2021,80,90,85
Celery,2/10/2021,220,250,235
Parseley,2/10/2021,350,400,375
Fennel Leaf,2/10/2021,80,90,85
Mint,2/10/2021,220,250,235
Turnip A,2/10/2021,70,80,75
Tamarind,2/10/2021,140,150,145
Bamboo Shoot,2/10/2021,70,80,75
Tofu,2/10/2021,70,80,75
Gundruk,2/10/2021,220,250,235
Apple(Jholey),2/10/2021,190,200,195
Apple(Fuji),2/10/2021,250,280,265
Banana,2/10/2021,90,100,95
Lime,2/10/2021,130,140,135
Pomegranate,2/10/2021,280,300,290
Grapes(Green),2/10/2021,100,125,112.5
Grapes(Black),2/10/2021,225,250,237.5
Orange(Nepali),2/10/2021,140,150,145
Water Melon(Green),2/10/2021,35,45,40
Sweet Orange,2/10/2021,150,160,155
Pineapple,2/10/2021,140,150,145
Cucumber(Local),2/10/2021,130,140,135
Cucumber(Hybrid),2/10/2021,40,50,45
Jack Fruit,2/10/2021,80,90,85
Lemon,2/10/2021,40,50,45
Pear(Chinese),2/10/2021,260,270,265
Papaya(Nepali),2/10/2021,50,60,55
Papaya(Indian),2/10/2021,90,100,95
Guava,2/10/2021,90,100,95
Mombin,2/10/2021,40,50,45
Sugarcane,2/10/2021,80,90,85
Kinnow,2/10/2021,50,60,55
Strawberry,2/10/2021,550,600,575
Kiwi,2/10/2021,280,300,290
Ginger,2/10/2021,50,60,55
Chilli Dry,2/10/2021,320,330,325
Chilli Green,2/10/2021,80,90,85
Chilli Green(Bullet),2/10/2021,50,60,55
Chilli Green(Machhe),2/10/2021,90,100,95
Capsicum,2/10/2021,70,80,75
Garlic Green,2/10/2021,70,80,75
Coriander Green,2/10/2021,90,100,95
Garlic Dry Chinese,2/10/2021,280,300,290
Fish Fresh(Rahu),2/10/2021,270,280,275
Fish Fresh(Bachuwa),2/10/2021,225,230,227.5
Fish Fresh(Chhadi),2/10/2021,210,220,215
Fish Fresh(Mungari),2/10/2021,240,250,245
Tomato Big(Nepali),2/11/2021,50,60,55
Tomato Big(Indian),2/11/2021,45,55,50
Tomato Small(Local),2/11/2021,15,25,20
Tomato Small(Tunnel),2/11/2021,15,25,20
Tomato Small(Indian),2/11/2021,20,30,25
Tomato Small(Terai),2/11/2021,20,30,25
Potato Red,2/11/2021,24,28,26
Potato Red(Indian),2/11/2021,24,28,26
Potato White,2/11/2021,18,20,19
Onion Dry (Indian),2/11/2021,78,82,80
Carrot(Local),2/11/2021,50,60,55
Carrot(Terai),2/11/2021,40,50,45
Cabbage(Local),2/11/2021,15,20,17.5
Cabbage(Terai),2/11/2021,10,15,12.5
Cabbage,2/11/2021,12,15,13.5
Cauli Local,2/11/2021,35,45,40
Cauli Local(Jyapu),2/11/2021,40,50,45
Cauli Terai,2/11/2021,20,30,25
Raddish Red,2/11/2021,50,60,55
Raddish White(Local),2/11/2021,25,30,27.5
Raddish White(Hybrid),2/11/2021,25,40,32.5
Brinjal Long,2/11/2021,55,60,57.5
Brinjal Round,2/11/2021,55,60,57.5
Green Peas,2/11/2021,50,60,55
French Bean(Local),2/11/2021,70,80,75
French Bean(Hybrid),2/11/2021,60,70,65
Sword Bean,2/11/2021,65,75,70
Bitter Gourd,2/11/2021,120,140,130
Bottle Gourd,2/11/2021,50,60,55
Pointed Gourd(Terai),2/11/2021,200,210,205
Pumpkin,2/11/2021,25,30,27.5
Squash(Long),2/11/2021,40,50,45
Squash(Round),2/11/2021,50,60,55
Turnip,2/11/2021,80,90,85
Okara,2/11/2021,110,120,115
Sweet Potato,2/11/2021,60,70,65
Barela,2/11/2021,50,60,55
Arum,2/11/2021,50,60,55
Christophine,2/11/2021,40,50,45
Brd Leaf Mustard,2/11/2021,50,60,55
Spinach Leaf,2/11/2021,60,70,65
Cress Leaf,2/11/2021,90,100,95
Mustard Leaf,2/11/2021,50,60,55
Fenugreek Leaf,2/11/2021,60,70,65
Onion Green,2/11/2021,60,70,65
Bakula,2/11/2021,100,110,105
Yam,2/11/2021,60,70,65
Mushroom(Kanya),2/11/2021,120,140,130
Mushroom(Button),2/11/2021,280,300,290
Brocauli,2/11/2021,60,70,65
Sugarbeet,2/11/2021,70,80,75
Drumstick,2/11/2021,160,180,170
Red Cabbbage,2/11/2021,90,100,95
Lettuce,2/11/2021,80,90,85
Knolkhol,2/11/2021,90,100,95
Celery,2/11/2021,220,250,235
Parseley,2/11/2021,350,400,375
Fennel Leaf,2/11/2021,80,90,85
Mint,2/11/2021,220,250,235
Turnip A,2/11/2021,70,80,75
Tamarind,2/11/2021,140,150,145
Bamboo Shoot,2/11/2021,70,80,75
Tofu,2/11/2021,70,80,75
Gundruk,2/11/2021,220,250,235
Apple(Jholey),2/11/2021,190,200,195
Apple(Fuji),2/11/2021,250,300,275
Banana,2/11/2021,90,100,95
Lime,2/11/2021,140,150,145
Pomegranate,2/11/2021,280,300,290
Grapes(Green),2/11/2021,90,100,95
Grapes(Black),2/11/2021,190,200,195
Orange(Nepali),2/11/2021,140,150,145
Water Melon(Green),2/11/2021,35,40,37.5
Sweet Orange,2/11/2021,140,150,145
Pineapple,2/11/2021,140,150,145
Cucumber(Local),2/11/2021,140,160,150
Cucumber(Hybrid),2/11/2021,40,50,45
Jack Fruit,2/11/2021,80,90,85
Lemon,2/11/2021,50,60,55
Pear(Chinese),2/11/2021,260,270,265
Guava,2/11/2021,90,100,95
Mombin,2/11/2021,45,50,47.5
Sugarcane,2/11/2021,80,90,85
Kinnow,2/11/2021,50,60,55
Strawberry,2/11/2021,550,600,575
Kiwi,2/11/2021,280,300,290
Ginger,2/11/2021,50,60,55
Chilli Dry,2/11/2021,320,330,325
Chilli Green,2/11/2021,80,90,85
Chilli Green(Bullet),2/11/2021,50,60,55
Chilli Green(Machhe),2/11/2021,90,100,95
Capsicum,2/11/2021,70,80,75
Garlic Green,2/11/2021,60,70,65
Coriander Green,2/11/2021,80,100,90
Garlic Dry Chinese,2/11/2021,270,290,280
Fish Fresh(Rahu),2/11/2021,270,280,275
Fish Fresh(Bachuwa),2/11/2021,225,235,230
Fish Fresh(Chhadi),2/11/2021,210,220,215
Fish Fresh(Mungari),2/11/2021,240,250,245
Tomato Big(Nepali),2/12/2021,50,60,55
Tomato Big(Indian),2/12/2021,50,60,55
Tomato Small(Local),2/12/2021,12,16,14
Tomato Small(Tunnel),2/12/2021,15,20,17.5
Tomato Small(Indian),2/12/2021,20,25,22.5
Tomato Small(Terai),2/12/2021,25,30,27.5
Potato Red,2/12/2021,22,26,24
Potato Red(Indian),2/12/2021,22,26,24
Potato White,2/12/2021,17,19,18
Onion Dry (Indian),2/12/2021,80,85,82.5
Carrot(Local),2/12/2021,50,60,55
Carrot(Terai),2/12/2021,40,50,45
Cabbage(Local),2/12/2021,15,20,17.5
Cabbage(Terai),2/12/2021,10,15,12.5
Cabbage,2/12/2021,15,20,17.5
Cauli Local,2/12/2021,35,45,40
Cauli Local(Jyapu),2/12/2021,40,50,45
Cauli Terai,2/12/2021,25,30,27.5
Raddish Red,2/12/2021,50,60,55
Raddish White(Local),2/12/2021,25,35,30
Raddish White(Hybrid),2/12/2021,30,35,32.5
Brinjal Long,2/12/2021,50,60,55
Brinjal Round,2/12/2021,50,60,55
Green Peas,2/12/2021,50,60,55
French Bean(Local),2/12/2021,60,70,65
French Bean(Hybrid),2/12/2021,50,60,55
Sword Bean,2/12/2021,60,70,65
Bitter Gourd,2/12/2021,110,130,120
Bottle Gourd,2/12/2021,50,60,55
Pointed Gourd(Terai),2/12/2021,180,200,190
Pumpkin,2/12/2021,25,35,30
Squash(Long),2/12/2021,40,50,45
Squash(Round),2/12/2021,50,60,55
Turnip,2/12/2021,70,80,75
Okara,2/12/2021,110,120,115
Sweet Potato,2/12/2021,60,70,65
Barela,2/12/2021,50,60,55
Arum,2/12/2021,40,50,45
Christophine,2/12/2021,40,50,45
Brd Leaf Mustard,2/12/2021,50,60,55
Spinach Leaf,2/12/2021,50,60,55
Cress Leaf,2/12/2021,80,90,85
Mustard Leaf,2/12/2021,40,50,45
Fenugreek Leaf,2/12/2021,50,60,55
Onion Green,2/12/2021,60,70,65
Bakula,2/12/2021,110,120,115
Yam,2/12/2021,50,60,55
Mushroom(Kanya),2/12/2021,80,100,90
Mushroom(Button),2/12/2021,280,300,290
Brocauli,2/12/2021,50,60,55
Sugarbeet,2/12/2021,60,70,65
Drumstick,2/12/2021,160,170,165
Red Cabbbage,2/12/2021,90,100,95
Lettuce,2/12/2021,80,90,85
Knolkhol,2/12/2021,80,90,85
Celery,2/12/2021,220,250,235
Parseley,2/12/2021,350,400,375
Fennel Leaf,2/12/2021,50,60,55
Mint,2/12/2021,220,250,235
Turnip A,2/12/2021,70,80,75
Tamarind,2/12/2021,140,150,145
Bamboo Shoot,2/12/2021,70,80,75
Tofu,2/12/2021,70,80,75
Gundruk,2/12/2021,220,250,235
Apple(Jholey),2/12/2021,180,200,190
Apple(Fuji),2/12/2021,250,280,265
Banana,2/12/2021,90,100,95
Lime,2/12/2021,130,140,135
Pomegranate,2/12/2021,280,300,290
Grapes(Green),2/12/2021,100,125,112.5
Grapes(Black),2/12/2021,200,225,212.5
Orange(Nepali),2/12/2021,120,130,125
Water Melon(Green),2/12/2021,40,50,45
Sweet Orange,2/12/2021,150,160,155
Pineapple,2/12/2021,130,140,135
Cucumber(Local),2/12/2021,140,160,150
Cucumber(Hybrid),2/12/2021,40,50,45
Jack Fruit,2/12/2021,80,90,85
Lemon,2/12/2021,50,60,55
Pear(Chinese),2/12/2021,260,270,265
Papaya(Nepali),2/12/2021,50,60,55
Papaya(Indian),2/12/2021,80,90,85
Guava,2/12/2021,90,100,95
Mombin,2/12/2021,40,45,42.5
Sugarcane,2/12/2021,80,90,85
Kinnow,2/12/2021,60,70,65
Strawberry,2/12/2021,600,650,625
Kiwi,2/12/2021,300,350,325
Ginger,2/12/2021,50,60,55
Chilli Dry,2/12/2021,320,330,325
Chilli Green,2/12/2021,80,90,85
Chilli Green(Bullet),2/12/2021,50,60,55
Chilli Green(Machhe),2/12/2021,90,100,95
Capsicum,2/12/2021,70,80,75
Garlic Green,2/12/2021,70,80,75
Coriander Green,2/12/2021,60,80,70
Garlic Dry Chinese,2/12/2021,270,290,280
Fish Fresh(Rahu),2/12/2021,270,280,275
Fish Fresh(Bachuwa),2/12/2021,220,230,225
Fish Fresh(Chhadi),2/12/2021,210,220,215
Fish Fresh(Mungari),2/12/2021,240,250,245
Tomato Big(Nepali),2/13/2021,50,60,55
Tomato Big(Indian),2/13/2021,50,60,55
Tomato Small(Local),2/13/2021,12,20,16
Tomato Small(Tunnel),2/13/2021,12,20,16
Tomato Small(Indian),2/13/2021,20,25,22.5
Tomato Small(Terai),2/13/2021,20,25,22.5
Potato Red,2/13/2021,22,26,24
Potato Red(Indian),2/13/2021,22,26,24
Potato White,2/13/2021,18,20,19
Onion Dry (Indian),2/13/2021,80,85,82.5
Carrot(Local),2/13/2021,50,60,55
Carrot(Terai),2/13/2021,40,50,45
Cabbage(Local),2/13/2021,15,20,17.5
Cabbage(Terai),2/13/2021,12,16,14
Cabbage,2/13/2021,15,20,17.5
Cauli Local,2/13/2021,30,40,35
Cauli Local(Jyapu),2/13/2021,40,50,45
Cauli Terai,2/13/2021,25,30,27.5
Raddish Red,2/13/2021,50,60,55
Raddish White(Local),2/13/2021,25,35,30
Raddish White(Hybrid),2/13/2021,30,40,35
Brinjal Long,2/13/2021,50,60,55
Brinjal Round,2/13/2021,50,60,55
Green Peas,2/13/2021,50,60,55
French Bean(Local),2/13/2021,70,80,75
French Bean(Hybrid),2/13/2021,60,70,65
Sword Bean,2/13/2021,60,70,65
Bitter Gourd,2/13/2021,130,150,140
Bottle Gourd,2/13/2021,50,60,55
Pointed Gourd(Terai),2/13/2021,160,180,170
Pumpkin,2/13/2021,25,35,30
Squash(Long),2/13/2021,30,40,35
Squash(Round),2/13/2021,40,50,45
Turnip,2/13/2021,70,80,75
Okara,2/13/2021,120,130,125
Sweet Potato,2/13/2021,60,70,65
Barela,2/13/2021,50,60,55
Arum,2/13/2021,50,60,55
Christophine,2/13/2021,50,60,55
Brd Leaf Mustard,2/13/2021,50,60,55
Spinach Leaf,2/13/2021,50,60,55
Cress Leaf,2/13/2021,80,90,85
Mustard Leaf,2/13/2021,40,50,45
Fenugreek Leaf,2/13/2021,50,60,55
Onion Green,2/13/2021,50,60,55
Bakula,2/13/2021,110,120,115
Yam,2/13/2021,50,60,55
Mushroom(Kanya),2/13/2021,70,90,80
Mushroom(Button),2/13/2021,280,300,290
Brocauli,2/13/2021,50,60,55
Sugarbeet,2/13/2021,70,80,75
Drumstick,2/13/2021,160,180,170
Red Cabbbage,2/13/2021,110,120,115
Lettuce,2/13/2021,80,90,85
Knolkhol,2/13/2021,80,90,85
Celery,2/13/2021,220,250,235
Parseley,2/13/2021,350,400,375
Fennel Leaf,2/13/2021,80,90,85
Mint,2/13/2021,220,250,235
Turnip A,2/13/2021,70,80,75
Tamarind,2/13/2021,140,150,145
Bamboo Shoot,2/13/2021,70,80,75
Tofu,2/13/2021,70,80,75
Gundruk,2/13/2021,220,250,235
Apple(Jholey),2/13/2021,190,200,195
Apple(Fuji),2/13/2021,250,280,265
Banana,2/13/2021,90,100,95
Lime,2/13/2021,130,150,140
Pomegranate,2/13/2021,280,300,290
Grapes(Green),2/13/2021,100,125,112.5
Grapes(Black),2/13/2021,200,225,212.5
Orange(Nepali),2/13/2021,110,130,120
Water Melon(Green),2/13/2021,35,45,40
Sweet Orange,2/13/2021,150,160,155
Pineapple,2/13/2021,130,140,135
Cucumber(Hybrid),2/13/2021,45,50,47.5
Jack Fruit,2/13/2021,80,90,85
Lemon,2/13/2021,50,60,55
Pear(Chinese),2/13/2021,260,270,265
Papaya(Nepali),2/13/2021,50,60,55
